idd,classid,level,line,eline,priority,kind1,kind2,manalimit,manamin,カード名,content,evolve,bold1,bold2,bold3,bold4,文字カウント,進化文字,f1,f2,マイナスライン,マイナスE,手加えました
1,1,1,1,0,2,エンハンス,か,4,0,アーボリスト・ライラ,エンハンス 4；自分の他のフォロワーすべてを+1/+1する。,,エンハンス,,,,30,0,●,,1,,
2,1,1,0,2,2,エンハンス,か,11,0,導きの妖精姫・アリア,,エンハンス 9； その後、フェアリーを手札が上限枚数になるまで加える。（上限は9枚）,エンハンス,フェアリー,,,0,42,,,,,
3,1,1,1,0,2,エンハンス,か,7,0,クリスタリア・エリン,エンハンス 8； 自分のEPを1回復。,,エンハンス,,,,19,0,,,,,
4,1,1,2,0,2,エンハンス,ファンファーレ,6,0,クリスタリア・リリィ,ファンファーレ エンハンス 6； 相手のフォロワー1体をスノーマンに変身させる。,,エンハンス,ファンファーレ,,,40,0,,,,,
5,1,1,1,0,2,エンハンス,ファンファーレ,4,0,狂気のダークエルフ,ファンファーレ エンハンス 6； +3/+3する。,,,,,,25,0,,,,,
6,1,1,1,0,,ファンファーレ,か,11,0,ベビーエルフ・メイ,ファンファーレ ランダムな相手のフォロワー1体に1ダメージ。,,ファンファーレ,,,,30,0,●,,1,,
7,1,1,4,0,,ファンファーレ,か,11,0,ロイヤルクリスタリア・ティア,ファンファーレ このターン中に（このカードを含めず）カードを2枚以上プレイしていたなら、クリスタリア・イヴ1枚を手札に加え、そのコストを3にする。4枚以上プレイしていたなら、コストを3にするのではなく、1にする。,,ファンファーレ,クリスタリア・イヴ,,,106,0,,,,,
8,1,1,2,0,,ファンファーレ,か,11,0,ベビーフェルパー,ファンファーレ このターン中に（このカードを含めず）カードを2枚以上プレイしていたなら、+1/+1する。,,ファンファーレ,,,,52,0,,,,,
9,1,1,1,1,,ラストワード,か,11,0,ウォーターフェアリー,ラストワード フェアリー1枚を手札に加える。,ラストワード フェアリー1枚を手札に加える。,ラストワード,フェアリー,,,22,22,,,,,
10,1,1,0,1,,疾走,か,11,0,ホワイトヴァナラ,,疾走,疾走,,,,0,2,,,,,
11,1,1,0,2,,進化時,か,11,0,小さな勇士・スクナ,,進化時 このターン中にカードを3枚以上プレイしていたなら、+2/+2する。,進化時,,,,0,37,,,,,
12,1,1,0,1,,進化時,か,11,0,導きの妖精姫・アリア,,進化時 フェアリーウィスプ1枚を手札に加える。,進化時,フェアリーウィスプ,,,0,23,,,,,
13,1,1,0,1,,進化時,か,11,0,天馬のエルフ,,進化時 相手のフォロワー1体に1ダメージ。,進化時,,,,0,21,,,,,
14,1,1,3,0,1,直接召喚,か,11,0,アクティブエルフ・メイ,直接召喚 自分がカードをプレイしたとき、それがこのターン中に4枚目なら、このカードを1枚、自分のデッキから場に出す。その後、このフォロワーを手札に戻す。,,直接召喚,,,,76,0,,,,,
15,1,2,0,1,,2回攻撃,か,11,0,豊穣の闘士・アイリーネ,,このフォロワーは、1ターンに2回攻撃できる。,,,,,0,22,,,,,
16,1,2,3,0,2,エンハンス,か,10,0,ジャングルの守護者,ファンファーレ エンハンス 10； @user_name1体を出す。その後、自分の@user_nameすべては疾走 を持つ。,,ファンファーレ,エンハンス,疾走,@user_name,62,0,●,,0,,
17,1,2,2,2,,ターン終了時,か,11,0,不殺の使徒,自分のターン終了時、自分のリーダーを「相手の場のフォロワーの数」と同じだけ回復。,自分のターン終了時、自分のリーダーを「相手の場のフォロワーの数」と同じだけ回復。,,,,,40,40,,,,,
18,1,2,2,0,,ファンファーレ,か,11,0,リノセウス,ファンファーレ ターン終了まで、「このターン中に（このカードを含めず）カードをプレイした枚数」と同じだけ+1/+0する。,,ファンファーレ,,,,60,0,●,,1,,
19,1,2,3,0,,ファンファーレ,か,11,0,エルフの少女・リザ,ファンファーレ 相手のターン終了まで、自分のフォロワーへの「能力によるダメージ」は0になる。（「攻撃によるダメージ」はそのまま）,,ファンファーレ,,,,64,0,,,,,
20,1,2,1,0,,ファンファーレ,か,11,0,フェアリーウィスパラー,ファンファーレ フェアリー2枚を手札に加える。,,ファンファーレ,フェアリー,,,23,0,,,,,
21,1,2,3,0,,ファンファーレ,か,11,0,インセクトキング,ファンファーレ ランダムな相手のフォロワー1体に「このターン中にカードをプレイした枚数（このカードも含める）」と同じダメージ。,,ファンファーレ,,,,63,0,,,,,
